Table C9,,,,,,,,
"Primary energy consumption in Australia, by state and territory, energy units a",,,,,,,,
,,,,,,,,
,New South Wales,Victoria,Queensland,Western Australia,South Australia,Tasmania,Northern Territory,Australia
,PJ,PJ,PJ,PJ,PJ,PJ,PJ,PJ
1960-61,568.2,378.1,159.4,99.6,91.4,39.1,4.8,"1,336.60"
1961-62,579.4,389.2,162.7,99.1,94.7,38.9,5.6,"1,365.80"
1962-63,594.9,410.4,177.2,103.9,101.6,42.3,4.7,"1,432.20"
1963-64,638.6,438.2,185.5,110.8,111.2,45.7,5.8,"1,531.40"
1964-65,678.2,460.7,197.9,115.9,123.4,47.3,6.4,"1,625.30"
1965-66,702.2,485.3,218.4,124.6,132.1,48.4,6.5,"1,713.10"
1966-67,739.6,503.6,237.8,136.2,137.5,50.7,6.9,"1,805.80"
1967-78,779.6,521.4,249,157.1,143,52.6,8.7,"1,898.90"
1968-69,810.3,543.3,268.8,169.4,168.1,59.6,12.3,"2,025.90"
1969-70,833.1,581.3,285.3,189.8,187.1,61.2,14,"2,137.60"
1970-71,853.3,599.3,292.8,209.1,191.9,65.5,15.9,"2,210.30"
1971-72,883.5,636.2,320.2,221.7,189.1,65.7,18.7,"2,331.20"
1972-73,927.1,656,337.9,239.1,202.5,68.3,24.1,"2,447.80"
1973-74,943,710.9,371.3,272.6,215.4,71.9,30.1,"2,615.20"
1974-75,964.7,731,392.6,279.6,222.8,71.3,32.8,"2,694.80"
1975-76,934,752.8,410,296.5,234.5,71.9,31.2,"2,730.80"
1976-77,980.2,802.1,441.8,322.1,249.3,77,33.6,"2,905.90"
1977-78,"1,011.30",823.1,461.2,328.4,247.7,78.4,35.1,"2,985.10"
1978-79,"1,019.30",857.3,463.2,336,259.6,82,35.7,"3,053.10"
1979-80,"1,059.00",869.4,480.2,334.1,264.2,84.6,40,"3,131.40"
1980-81,"1,060.40",880.8,502.9,322,255.7,83.3,41.3,"3,146.30"
1981-82,"1,077.80",939.4,537.2,300.1,260,84.5,38.6,"3,237.60"
1982-83,"1,002.50",896.5,541.5,304.6,254.6,82.3,40.8,"3,122.70"
1983-84,"1,045.60",904.9,571.6,313.9,258,83.3,43.8,"3,221.20"
1984-85,"1,080.30",936.2,600.3,343.1,280.2,85,45.8,"3,370.70"
1985-86,"1,108.70",926.4,604.8,344.8,284.5,86.4,47,"3,402.50"
1986-87,"1,137.10",979.5,620,358.4,284.7,85.4,49.3,"3,514.40"
1987-88,"1,143.30","1,014.50",642.4,391.1,291.1,89.5,51.1,"3,623.00"
1988-89,"1,194.20","1,090.20",678.3,427.7,299.3,92,51,"3,832.70"
1989-90,"1,230.40","1,099.80",691.8,473,301.9,96.6,52.5,"3,945.90"
1990-91,"1,228.60","1,090.90",702,488.4,287.4,97.6,55,"3,949.90"
1991-92,"1,219.40","1,108.70",715,496.4,296.9,89.3,56.9,"3,982.70"
1992-93,"1,249.10","1,104.70",758.5,522,300.1,90.1,57.2,"4,081.80"
1993-94,"1,276.70","1,102.50",793.2,554.1,304.8,92,58.5,"4,181.90"
1994-95,"1,314.60","1,152.20",847.3,592.7,304.4,92.4,61.8,"4,365.40"
1995-96,"1,351.20","1,184.90",882.7,630.2,296.6,93,67,"4,505.50"
1996-97,"1,380.60","1,202.70",914.1,649.6,299.7,94.8,69.7,"4,611.10"
1997-98,"1,382.00","1,286.30",968.5,662.6,311.9,95.8,70.4,"4,777.60"
1998-99,"1,413.80","1,318.30",983.8,672.8,327.2,95.7,73.2,"4,884.70"
1999-00,"1,426.30","1,346.30","1,009.70",688.5,328,95.8,76.4,"4,971.00"
2000-01,"1,450.50","1,337.20","1,020.00",708.1,329.3,93.6,73.2,"5,011.80"
2001-02,"1,445.70","1,371.90","1,057.80",722.9,328.1,97.2,73.4,"5,097.00"
2002-03,"1,510.50","1,330.60","1,064.00",720,357.3,99.5,56.8,"5,138.70"
2003-04,"1,574.80","1,364.90","1,081.10",730.3,371.5,103.4,58.7,"5,284.70"
2004-05,"1,544.90","1,356.50","1,225.10",748.2,355.6,107.4,61.5,"5,399.20"
2005-06,"1,546.00","1,429.50","1,279.50",757.1,350.1,111.6,73,"5,546.70"
2006-07,"1,568.90","1,433.90","1,329.00",820.7,375.5,113.3,82.8,"5,724.00"
2007-08,"1,610.70","1,426.10","1,287.30",828,372.5,115.5,96,"5,736.10"
2008-09,"1,593.50","1,421.30","1,345.70",917.2,357.2,113.8,95,"5,843.80"
2009-10,"1,645.30","1,426.70","1,294.40",905.7,343.7,113.7,94.1,"5,823.70"
2010-11,"1,667.80","1,448.50","1,249.60",980.3,342.8,113.8,99.7,"5,902.50"
2011-12,"1,621.30","1,457.30","1,314.50",982.1,307.7,107,98.2,"5,888.10"
2012-13,"1,568.40","1,425.30","1,334.40","1,018.10",356.3,112.3,100.2,"5,915.00"
2013-14,"1,516.50","1,423.30","1,335.80","1,065.20",343.6,107.5,99.1,"5,891.10"
2014-15,"1,466.80","1,412.40","1,433.30","1,044.20",363.6,104.4,84,"5,908.60"
2015-16,"1,515.50","1,441.70","1,461.80","1,123.60",323.2,106.5,83.9,"6,056.20"
2016-17,"1,522.70","1,409.50","1,529.20","1,175.40",294.1,106.8,83.3,"6,120.90"
2017-18,"1,554.50","1,338.50","1,547.40","1,210.90",336,110,90.2,"6,187.30"
2018-19,"1,547.80","1,305.40","1,515.60","1,265.00",321.3,107.6,133,"6,195.60"
2019-20,"1,468.80","1,235.60","1,477.50","1,271.90",312.7,99.4,147.9,"6,013.80"
a Total net energy consumption is the total quantity (in energy units) of primary and derived fuels consumed less the quantity of derived fuels produced. ,,,,,,,,
Discrepancies due to the rounding of totals.,,,,,,,,
State and territory totals do not sum to national totals for the 1960s and early 1970s.,,,,,,,,
